frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
2,1748368164.226398,pizza,"Pizza Slice",0.613,0.739,1.776,3.045,216.305,41,41,41,33,3
3,1748368164.326593,pizza,"Pizza Slice",0.750,0.963,2.492,2.320,61.228,48,48,48,38,3
4,1748368164.426771,pizza,"Pizza Slice",0.600,0.726,18.969,1.978,76.895,141,141,141,133,4
5,1748368164.526985,pizza,"Pizza Slice",0.594,0.778,3.225,2.005,56.414,52,52,52,44,3
6,1748368164.627185,pizza,"Pizza Slice",0.550,0.659,1.966,2.657,172.031,47,47,47,36,3
7,1748368164.727378,pizza,"Pizza Slice",0.609,0.856,2.043,1.930,53.255,41,41,41,35,3
8,1748368164.827579,pizza,"Pizza Slice",0.581,0.718,20.567,2.806,79.866,149,149,149,143,5
9,1748368164.927773,pizza,"Pizza Slice",0.566,0.693,27.219,3.212,204.349,182,182,182,172,5
10,1748368165.027968,pizza,"Pizza Slice",0.560,0.668,2.385,2.298,53.910,47,47,47,38,3
11,1748368165.128188,pizza,"Pizza Slice",0.594,0.756,34.615,3.679,96.701,218,218,218,208,7
12,1748368165.228343,pizza,"Pizza Slice",0.578,0.701,2.345,2.751,56.487,53,53,53,39,5
13,1748368165.328560,pizza,"Pizza Slice",0.566,0.694,3.492,2.044,175.504,62,62,62,52,4
14,1748368165.428759,pizza,"Pizza Slice",0.586,0.786,2.436,1.950,53.760,49,49,49,39,3
15,1748368165.528953,pizza,"Pizza Slice",0.589,0.746,2.453,1.937,57.251,52,52,52,39,4
16,1748368165.629153,pizza,"Pizza Slice",0.575,0.695,2.672,2.662,55.448,48,48,48,40,4
17,1748368165.729347,pizza,"Pizza Slice",0.591,0.740,28.824,2.318,205.200,153,153,153,144,4
18,1748368165.829545,pizza,"Pizza Slice",0.626,0.920,2.969,2.615,60.260,56,56,56,44,4
19,1748368165.929738,pizza,"Pizza Slice",0.582,0.731,2.554,2.626,59.751,49,49,49,39,4
20,1748368166.029931,pizza,"Pizza Slice",0.593,0.765,3.889,2.619,61.606,63,63,63,52,4
21,1748368166.130140,pizza,"Pizza Slice",0.555,0.664,3.538,3.226,182.582,67,67,67,51,5
22,1748368166.230335,pizza,"Pizza Slice",0.573,0.687,3.125,2.167,57.747,62,62,62,44,3
23,1748368166.330534,pizza,"Pizza Slice",0.593,0.794,5.980,4.142,64.348,71,71,71,54,5
24,1748368166.430724,pizza,"Pizza Slice",0.582,0.724,1.666,2.518,68.476,40,40,40,29,3
25,1748368166.530921,pizza,"Pizza Slice",0.573,0.703,4.064,2.996,181.928,65,65,65,47,5
26,1748368166.631117,pizza,"Pizza Slice",0.586,0.724,3.654,2.762,66.989,65,65,65,47,5
27,1748368166.731314,pizza,"Pizza Slice",0.561,0.719,2.926,1.657,56.725,56,56,56,41,2
28,1748368166.831509,pizza,"Pizza Slice",0.681,0.846,3.324,2.805,63.816,61,61,61,47,5
29,1748368166.931711,pizza,"Pizza Slice",0.560,0.714,3.791,3.720,178.788,69,69,69,49,5
30,1748368167.031904,pizza,"Pizza Slice",0.566,0.695,5.950,4.829,64.419,91,91,91,65,8
31,1748368167.132101,pizza,"Pizza Slice",0.555,0.681,4.916,4.946,63.967,68,68,68,51,4
32,1748368167.232305,pizza,"Pizza Slice",0.586,0.754,5.872,4.322,65.965,85,85,85,65,6
33,1748368167.332497,pizza,"Pizza Slice",0.537,0.654,3.152,3.528,180.334,62,62,62,48,6
34,1748368167.432784,pizza,"Pizza Slice",0.560,0.714,3.585,2.943,60.354,64,64,64,50,5
35,1748368167.532887,pizza,"Pizza Slice",0.578,0.719,4.425,5.013,65.851,60,60,60,43,6
36,1748368167.633188,pizza,"Pizza Slice",0.718,0.866,3.003,2.936,61.560,62,62,62,43,5
37,1748368167.733356,pizza,"Pizza Slice",0.544,0.647,3.221,3.295,173.185,63,63,63,45,4
38,1748368167.833480,pizza,"Pizza Slice",0.539,0.648,4.129,3.003,59.853,73,73,73,50,5
39,1748368167.933652,pizza,"Pizza Slice",0.601,0.730,3.666,2.042,58.155,64,64,64,46,3
40,1748368168.033875,pizza,"Pizza Slice",0.563,0.699,4.326,2.819,176.689,74,74,74,53,5
41,1748368168.134068,pizza,"Pizza Slice",0.531,0.637,2.899,2.775,55.769,57,57,57,41,4
42,1748368168.234265,pizza,"Pizza Slice",0.579,0.708,3.949,2.682,62.330,66,66,66,48,4
43,1748368168.334462,pizza,"Pizza Slice",0.549,0.686,6.659,2.822,62.903,100,100,100,64,5
44,1748368168.434658,pizza,"Pizza Slice",0.548,0.672,2.889,2.979,173.018,55,55,55,38,3
45,1748368168.534855,pizza,"Pizza Slice",0.575,0.730,24.501,3.395,84.724,173,173,173,156,6
46,1748368168.635051,pizza,"Pizza Slice",0.628,0.842,5.505,4.208,68.434,84,84,84,59,6
47,1748368168.735250,pizza,"Pizza Slice",0.528,0.652,2.313,3.096,57.748,41,41,41,35,3
48,1748368168.835445,pizza,"Pizza Slice",0.534,0.647,3.946,2.740,182.307,73,73,73,46,5
49,1748368168.935644,pizza,"Pizza Slice",0.551,0.693,2.122,2.114,55.953,44,44,44,35,3
50,1748368169.035838,pizza,"Pizza Slice",0.641,0.875,2.076,2.088,59.229,37,37,37,33,3
51,1748368169.136038,pizza,"Pizza Slice",0.549,0.674,3.973,2.361,60.059,55,55,55,47,4
52,1748368169.236231,pizza,"Pizza Slice",0.583,0.770,3.269,3.144,171.597,54,54,54,43,5
53,1748368169.336428,pizza,"Pizza Slice",0.587,0.718,3.884,2.789,60.806,59,59,59,47,4
54,1748368169.436629,pizza,"Pizza Slice",0.554,0.685,6.231,4.481,63.720,61,61,61,54,6
55,1748368169.536824,pizza,"Pizza Slice",0.528,0.682,3.228,3.233,64.896,48,48,48,42,6
56,1748368169.637019,pizza,"Pizza Slice",0.548,0.728,3.018,1.897,175.738,50,50,50,42,3
57,1748368169.737217,pizza,"Pizza Slice",0.546,0.668,3.372,2.256,57.668,48,48,48,43,4
58,1748368169.837413,pizza,"Pizza Slice",0.551,0.687,17.514,3.810,78.198,134,134,134,129,8
59,1748368169.937609,pizza,"Pizza Slice",0.531,0.626,1.692,1.692,167.803,37,37,37,29,3
60,1748368170.037809,pizza,"Pizza Slice",0.407,0.523,3.990,2.562,60.406,51,51,51,43,4
61,1748368170.138004,pizza,"Pizza Slice",0.446,0.588,3.266,4.483,64.584,45,45,45,40,5
